question,actual_response,predicted_response,actual_answer,predicted_answer,is_correct
"Isabella sold clips to 192 of her friends in April, and then she sold half as many clips in May. How many clips did Isabella sell altogether in April and May?",Isabella sold 192/2 = <<192/2=96>>96 clips in May. Isabella sold 192+96 = <<192+96=288>>288 clips altogether in April and May. #### 288,"Here's how to solve the problem:

* **May sales:** Isabella sold half as many clips in May as in April, so she sold 192 / 2 = 96 clips.
* **Total sales:** In total, Isabella sold 192 + 96 = 288 clips.

**Answer:** Isabella sold a total of 288 clips in April and May. 
",288.0,288.0,True
"Mia sold clips to 120 of her friends in April, and then she sold half as many clips in May. How many clips did Mia sell altogether in April and May?",Mia sold 120/2 = <<120/2=60>>60 clips in May. Mia sold 120+60 = <<120+60=180>>180 clips altogether in April and May. #### 180,"Here's how to solve the problem:

* **May sales:** Mia sold half as many clips in May as in April, so she sold 120 / 2 = 60 clips in May.
* **Total sales:** In total, Mia sold 120 + 60 = 180 clips.

**Answer:** Mia sold a total of 180 clips in April and May. 
",180.0,180.0,True
"Isabella sold clips to 190 of her friends in April, and then she sold half as many clips in May. How many clips did Isabella sell altogether in April and May?",Isabella sold 190/2 = <<190/2=95>>95 clips in May. Isabella sold 190+95 = <<190+95=285>>285 clips altogether in April and May. #### 285,"Here's how to solve the problem:

* **May sales:** Isabella sold half as many clips in May as in April, so she sold 190 / 2 = 95 clips in May.
* **Total sales:** In total, Isabella sold 190 + 95 = 285 clips.

**Answer:** Isabella sold a total of 285 clips in April and May. 
",285.0,285.0,True
"Sophia sold clips to 174 of her friends in April, and then she sold half as many clips in May. How many clips did Sophia sell altogether in April and May?",Sophia sold 174/2 = <<174/2=87>>87 clips in May. Sophia sold 174+87 = <<174+87=261>>261 clips altogether in April and May. #### 261,"Here's how to solve the problem:

* **May sales:** Sophia sold half as many clips in May as in April, so she sold 174 / 2 = 87 clips in May.
* **Total sales:**  Sophia sold a total of 174 + 87 = 261 clips in April and May.

**Answer:** Sophia sold a total of 261 clips. 
",261.0,261.0,True
"Charlotte sold clips to 138 of her friends in April, and then she sold half as many clips in May. How many clips did Charlotte sell altogether in April and May?",Charlotte sold 138/2 = <<138/2=69>>69 clips in May. Charlotte sold 138+69 = <<138+69=207>>207 clips altogether in April and May. #### 207,"Here's how to solve the problem:

* **May sales:** Charlotte sold half as many clips in May as in April, so she sold 138 / 2 = 69 clips.
* **Total sales:**  In total, Charlotte sold 138 + 69 = 207 clips.

**Answer:** Charlotte sold a total of 207 clips in April and May. 
",207.0,207.0,True
"Isabella sold clips to 112 of her friends in April, and then she sold half as many clips in May. How many clips did Isabella sell altogether in April and May?",Isabella sold 112/2 = <<112/2=56>>56 clips in May. Isabella sold 112+56 = <<112+56=168>>168 clips altogether in April and May. #### 168,"Here's how to solve the problem:

* **May sales:** Isabella sold half as many clips in May as in April, so she sold 112 / 2 = 56 clips.
* **Total sales:** In total, Isabella sold 112 + 56 = 168 clips.

**Answer:** Isabella sold a total of 168 clips in April and May. 
",168.0,168.0,True
"Ava sold clips to 130 of her friends in April, and then she sold half as many clips in May. How many clips did Ava sell altogether in April and May?",Ava sold 130/2 = <<130/2=65>>65 clips in May. Ava sold 130+65 = <<130+65=195>>195 clips altogether in April and May. #### 195,"Here's how to solve the problem:

* **May sales:** Ava sold half as many clips in May as in April, so she sold 130 / 2 = 65 clips in May.
* **Total sales:**  Ava sold a total of 130 + 65 = 195 clips in April and May.

**Answer:** Ava sold a total of 195 clips. 
",195.0,195.0,True
"Ava sold clips to 196 of her friends in April, and then she sold half as many clips in May. How many clips did Ava sell altogether in April and May?",Ava sold 196/2 = <<196/2=98>>98 clips in May. Ava sold 196+98 = <<196+98=294>>294 clips altogether in April and May. #### 294,"Here's how to solve the problem:

* **May sales:** Ava sold half as many clips in May as in April, so she sold 196 / 2 = 98 clips.
* **Total sales:**  In total, Ava sold 196 + 98 = 294 clips.

**Answer:** Ava sold a total of 294 clips in April and May. 
",294.0,294.0,True
"Amelia sold clips to 134 of her friends in April, and then she sold half as many clips in May. How many clips did Amelia sell altogether in April and May?",Amelia sold 134/2 = <<134/2=67>>67 clips in May. Amelia sold 134+67 = <<134+67=201>>201 clips altogether in April and May. #### 201,"Here's how to solve the problem:

* **May sales:** Amelia sold half as many clips in May as she did in April, so she sold 134 / 2 = 67 clips in May.
* **Total sales:** In total, Amelia sold 134 + 67 = 201 clips.

**Answer:** Amelia sold a total of 201 clips in April and May. 
",201.0,201.0,True
"Charlotte sold clips to 120 of her friends in April, and then she sold half as many clips in May. How many clips did Charlotte sell altogether in April and May?",Charlotte sold 120/2 = <<120/2=60>>60 clips in May. Charlotte sold 120+60 = <<120+60=180>>180 clips altogether in April and May. #### 180,"Here's how to solve the problem:

* **May sales:** Charlotte sold half as many clips in May as in April, so she sold 120 / 2 = 60 clips in May.
* **Total sales:** In total, Charlotte sold 120 + 60 = 180 clips.

**Answer:** Charlotte sold a total of 180 clips in April and May. 
",180.0,180.0,True
"Mia sold clips to 164 of her friends in April, and then she sold half as many clips in May. How many clips did Mia sell altogether in April and May?",Mia sold 164/2 = <<164/2=82>>82 clips in May. Mia sold 164+82 = <<164+82=246>>246 clips altogether in April and May. #### 246,"Here's how to solve the problem:

* **May sales:** Mia sold half as many clips in May as in April, so she sold 164 / 2 = 82 clips in May.
* **Total sales:** In total, Mia sold 164 + 82 = 246 clips.

**Answer:** Mia sold a total of 246 clips in April and May. 
",246.0,246.0,True
"Mia sold clips to 54 of her friends in April, and then she sold half as many clips in May. How many clips did Mia sell altogether in April and May?",Mia sold 54/2 = <<54/2=27>>27 clips in May. Mia sold 54+27 = <<54+27=81>>81 clips altogether in April and May. #### 81,"Here's how to solve the problem:

* **May sales:** Mia sold half as many clips in May as she did in April, so she sold 54 / 2 = 27 clips in May.
* **Total sales:** In total, Mia sold 54 + 27 = 81 clips.

**Answer:** Mia sold a total of 81 clips in April and May. 
",81.0,81.0,True
"Mia sold clips to 148 of her friends in April, and then she sold half as many clips in May. How many clips did Mia sell altogether in April and May?",Mia sold 148/2 = <<148/2=74>>74 clips in May. Mia sold 148+74 = <<148+74=222>>222 clips altogether in April and May. #### 222,"Here's how to solve the problem:

* **May sales:** Mia sold half as many clips in May as she did in April, so she sold 148 / 2 = 74 clips in May.
* **Total sales:** In total, Mia sold 148 + 74 = 222 clips.

**Answer:** Mia sold a total of 222 clips in April and May. 
",222.0,222.0,True
"Sophia sold clips to 22 of her friends in April, and then she sold half as many clips in May. How many clips did Sophia sell altogether in April and May?",Sophia sold 22/2 = <<22/2=11>>11 clips in May. Sophia sold 22+11 = <<22+11=33>>33 clips altogether in April and May. #### 33,"Here's how to solve the problem:

* **May sales:** Sophia sold half as many clips in May as she did in April, so she sold 22 / 2 = 11 clips in May.
* **Total sales:**  Sophia sold a total of 22 + 11 = 33 clips in April and May.

**Answer:** Sophia sold 33 clips altogether. 
",33.0,33.0,True
"Olivia sold clips to 180 of her friends in April, and then she sold half as many clips in May. How many clips did Olivia sell altogether in April and May?",Olivia sold 180/2 = <<180/2=90>>90 clips in May. Olivia sold 180+90 = <<180+90=270>>270 clips altogether in April and May. #### 270,"Here's how to solve the problem:

* **May sales:** Olivia sold half as many clips in May as in April, so she sold 180 / 2 = 90 clips in May.
* **Total sales:** In total, Olivia sold 180 + 90 = 270 clips.

**Answer:** Olivia sold a total of 270 clips in April and May. 
",270.0,270.0,True
"Isabella sold clips to 130 of her friends in April, and then she sold half as many clips in May. How many clips did Isabella sell altogether in April and May?",Isabella sold 130/2 = <<130/2=65>>65 clips in May. Isabella sold 130+65 = <<130+65=195>>195 clips altogether in April and May. #### 195,"Here's how to solve the problem:

* **May sales:** Isabella sold half as many clips in May as in April, so she sold 130 / 2 = 65 clips in May.
* **Total sales:** In total, Isabella sold 130 + 65 = 195 clips.

**Answer:** Isabella sold a total of 195 clips in April and May. 
",195.0,195.0,True
"Emma sold clips to 32 of her friends in April, and then she sold half as many clips in May. How many clips did Emma sell altogether in April and May?",Emma sold 32/2 = <<32/2=16>>16 clips in May. Emma sold 32+16 = <<32+16=48>>48 clips altogether in April and May. #### 48,"Here's how to solve the problem:

* **May sales:** Emma sold half as many clips in May as she did in April, so she sold 32 / 2 = 16 clips in May.
* **Total sales:** In total, Emma sold 32 + 16 = 48 clips.

**Answer:** Emma sold a total of 48 clips in April and May. 
",48.0,48.0,True
"Sophia sold clips to 66 of her friends in April, and then she sold half as many clips in May. How many clips did Sophia sell altogether in April and May?",Sophia sold 66/2 = <<66/2=33>>33 clips in May. Sophia sold 66+33 = <<66+33=99>>99 clips altogether in April and May. #### 99,"Here's how to solve the problem:

* **May sales:** Sophia sold half as many clips in May as in April, so she sold 66 / 2 = 33 clips in May.
* **Total sales:**  Sophia sold a total of 66 + 33 = 99 clips in April and May.

**Answer:** Sophia sold 99 clips altogether. 
",99.0,99.0,True
"Charlotte sold clips to 108 of her friends in April, and then she sold half as many clips in May. How many clips did Charlotte sell altogether in April and May?",Charlotte sold 108/2 = <<108/2=54>>54 clips in May. Charlotte sold 108+54 = <<108+54=162>>162 clips altogether in April and May. #### 162,"Here's how to solve the problem:

* **May sales:** Charlotte sold half as many clips in May as in April, so she sold 108 / 2 = 54 clips in May.
* **Total sales:**  In total, Charlotte sold 108 + 54 = 162 clips.

**Answer:** Charlotte sold a total of 162 clips in April and May. 
",162.0,162.0,True
"Mia sold clips to 160 of her friends in April, and then she sold half as many clips in May. How many clips did Mia sell altogether in April and May?",Mia sold 160/2 = <<160/2=80>>80 clips in May. Mia sold 160+80 = <<160+80=240>>240 clips altogether in April and May. #### 240,"Here's how to solve the problem:

* **May sales:** Mia sold half as many clips in May as in April, so she sold 160 / 2 = 80 clips in May.
* **Total sales:** In total, Mia sold 160 + 80 = 240 clips.

**Answer:** Mia sold a total of 240 clips in April and May. 
",240.0,240.0,True
"Isabella sold clips to 110 of her friends in April, and then she sold half as many clips in May. How many clips did Isabella sell altogether in April and May?",Isabella sold 110/2 = <<110/2=55>>55 clips in May. Isabella sold 110+55 = <<110+55=165>>165 clips altogether in April and May. #### 165,"Here's how to solve the problem:

* **May sales:** Isabella sold half as many clips in May as in April, so she sold 110 / 2 = 55 clips in May.
* **Total sales:** In total, Isabella sold 110 + 55 = 165 clips.

**Answer:** Isabella sold a total of 165 clips in April and May. 
",165.0,165.0,True
"Mia sold clips to 60 of her friends in April, and then she sold half as many clips in May. How many clips did Mia sell altogether in April and May?",Mia sold 60/2 = <<60/2=30>>30 clips in May. Mia sold 60+30 = <<60+30=90>>90 clips altogether in April and May. #### 90,"Here's how to solve the problem:

* **May sales:** Mia sold half as many clips in May as she did in April, so she sold 60 / 2 = 30 clips in May.
* **Total sales:** In total, Mia sold 60 + 30 = 90 clips.

**Answer:** Mia sold a total of 90 clips in April and May. 
",90.0,90.0,True
"Isabella sold clips to 192 of her friends in April, and then she sold half as many clips in May. How many clips did Isabella sell altogether in April and May?",Isabella sold 192/2 = <<192/2=96>>96 clips in May. Isabella sold 192+96 = <<192+96=288>>288 clips altogether in April and May. #### 288,"Here's how to solve the problem:

* **May sales:** Isabella sold half as many clips in May as in April, so she sold 192 / 2 = 96 clips.
* **Total sales:** In total, Isabella sold 192 + 96 = 288 clips.

**Answer:** Isabella sold a total of 288 clips in April and May. 
",288.0,288.0,True
"Isabella sold clips to 136 of her friends in April, and then she sold half as many clips in May. How many clips did Isabella sell altogether in April and May?",Isabella sold 136/2 = <<136/2=68>>68 clips in May. Isabella sold 136+68 = <<136+68=204>>204 clips altogether in April and May. #### 204,"Here's how to solve the problem:

* **May sales:** Isabella sold half as many clips in May as in April, so she sold 136 / 2 = 68 clips.
* **Total sales:** In total, Isabella sold 136 + 68 = 204 clips.

**Answer:** Isabella sold a total of 204 clips in April and May. 
",204.0,204.0,True
"Emma sold clips to 140 of her friends in April, and then she sold half as many clips in May. How many clips did Emma sell altogether in April and May?",Emma sold 140/2 = <<140/2=70>>70 clips in May. Emma sold 140+70 = <<140+70=210>>210 clips altogether in April and May. #### 210,"Here's how to solve the problem:

* **May sales:** Emma sold half as many clips in May as in April, so she sold 140 / 2 = 70 clips in May.
* **Total sales:**  Emma sold a total of 140 + 70 = 210 clips in April and May.

**Answer:** Emma sold a total of 210 clips. 
",210.0,210.0,True
"Charlotte sold clips to 100 of her friends in April, and then she sold half as many clips in May. How many clips did Charlotte sell altogether in April and May?",Charlotte sold 100/2 = <<100/2=50>>50 clips in May. Charlotte sold 100+50 = <<100+50=150>>150 clips altogether in April and May. #### 150,"Here's how to solve the problem:

* **May sales:** Charlotte sold half as many clips in May as in April, so she sold 100 / 2 = 50 clips in May.
* **Total sales:**  In total, Charlotte sold 100 + 50 = 150 clips.

**Answer:** Charlotte sold a total of 150 clips in April and May. 
",150.0,150.0,True
"Sophia sold clips to 104 of her friends in April, and then she sold half as many clips in May. How many clips did Sophia sell altogether in April and May?",Sophia sold 104/2 = <<104/2=52>>52 clips in May. Sophia sold 104+52 = <<104+52=156>>156 clips altogether in April and May. #### 156,"Here's how to solve the problem:

* **May sales:** Sophia sold half as many clips in May as in April, so she sold 104 / 2 = 52 clips in May.
* **Total sales:**  Sophia sold a total of 104 + 52 = 156 clips in April and May.

**Answer:** Sophia sold a total of 156 clips. 
",156.0,156.0,True
"Ava sold clips to 106 of her friends in April, and then she sold half as many clips in May. How many clips did Ava sell altogether in April and May?",Ava sold 106/2 = <<106/2=53>>53 clips in May. Ava sold 106+53 = <<106+53=159>>159 clips altogether in April and May. #### 159,"Here's how to solve the problem:

* **May sales:** Ava sold half as many clips in May as in April, so she sold 106 / 2 = 53 clips in May.
* **Total sales:**  Ava sold a total of 106 + 53 = 159 clips in April and May.

**Answer:** Ava sold a total of 159 clips. 
",159.0,159.0,True
"Sophia sold clips to 72 of her friends in April, and then she sold half as many clips in May. How many clips did Sophia sell altogether in April and May?",Sophia sold 72/2 = <<72/2=36>>36 clips in May. Sophia sold 72+36 = <<72+36=108>>108 clips altogether in April and May. #### 108,"Here's how to solve the problem:

* **May sales:** Sophia sold half as many clips in May as in April, so she sold 72 / 2 = 36 clips in May.
* **Total sales:**  Sophia sold a total of 72 + 36 = 108 clips in April and May.

**Answer:** Sophia sold a total of 108 clips. 
",108.0,108.0,True
"Sophia sold clips to 90 of her friends in April, and then she sold half as many clips in May. How many clips did Sophia sell altogether in April and May?",Sophia sold 90/2 = <<90/2=45>>45 clips in May. Sophia sold 90+45 = <<90+45=135>>135 clips altogether in April and May. #### 135,"Here's how to solve the problem:

* **May sales:** Sophia sold half as many clips in May as in April, so she sold 90 / 2 = 45 clips in May.
* **Total sales:**  Sophia sold a total of 90 + 45 = 135 clips in April and May.

**Answer:** Sophia sold a total of 135 clips. 
",135.0,135.0,True
"Ava sold clips to 196 of her friends in April, and then she sold half as many clips in May. How many clips did Ava sell altogether in April and May?",Ava sold 196/2 = <<196/2=98>>98 clips in May. Ava sold 196+98 = <<196+98=294>>294 clips altogether in April and May. #### 294,"Here's how to solve the problem:

* **May sales:** Ava sold half as many clips in May as in April, so she sold 196 / 2 = 98 clips.
* **Total sales:**  In total, Ava sold 196 + 98 = 294 clips.

**Answer:** Ava sold a total of 294 clips in April and May. 
",294.0,294.0,True
"Olivia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Olivia sell altogether in April and May?",Olivia sold 48/2 = <<48/2=24>>24 clips in May. Olivia sold 48+24 = <<48+24=72>>72 clips altogether in April and May. #### 72,"Here's how to solve the problem:

* **May sales:** Olivia sold half as many clips in May as in April, so she sold 48 / 2 = 24 clips in May.
* **Total sales:** In total, Olivia sold 48 + 24 = 72 clips.

**Answer:** Olivia sold a total of 72 clips in April and May. 
",72.0,72.0,True
"Ava sold clips to 58 of her friends in April, and then she sold half as many clips in May. How many clips did Ava sell altogether in April and May?",Ava sold 58/2 = <<58/2=29>>29 clips in May. Ava sold 58+29 = <<58+29=87>>87 clips altogether in April and May. #### 87,"Here's how to solve the problem:

* **May sales:** Ava sold half as many clips in May as in April, so she sold 58 / 2 = 29 clips in May.
* **Total sales:**  Ava sold a total of 58 + 29 = 87 clips in April and May.

**Answer:** Ava sold a total of 87 clips. 
",87.0,87.0,True
"Olivia earns $12 an hour for babysitting. Yesterday, she just did 25 minutes of babysitting. How much did she earn?","Olivia earns 12/60 = $<<12/60=0.2>>0.2 per minute. Working 25 minutes, she earned 0.2 x 25 = $<<0.2*25=5.0>>5.0. #### 5.0","Here's how to solve the problem:

**1. Convert minutes to hours:**

* There are 60 minutes in an hour, so 25 minutes is equal to 25/60 = 0.4167 hours (approximately).

**2. Calculate earnings:**

* Olivia earned $12 per hour, so she earned $12 * 0.4167 = $5.00 (approximately).

**Answer:** Olivia earned approximately $5.00 yesterday. 
",5.0,5.0,True
"Olivia earns $95 an hour for babysitting. Yesterday, she just did 75 minutes of babysitting. How much did she earn?","Olivia earns 95/60 = $<<95/60=1.5833333333333333>>1.5833333333333333 per minute. Working 75 minutes, she earned 1.5833333333333333 x 75 = $<<1.5833333333333333*75=118.75>>118.75. #### 118.75","Here's how to solve the problem:

**1. Convert minutes to hours:**

* There are 60 minutes in an hour, so 75 minutes is equal to 75/60 = 1.25 hours.

**2. Calculate earnings:**

* Olivia earned $95 per hour, and worked 1.25 hours, so she earned $95 * 1.25 = $118.75

**Answer:** Olivia earned $118.75. 
",118.75,118.75,True
"Charlotte earns $33 an hour for babysitting. Yesterday, she just did 75 minutes of babysitting. How much did she earn?","Charlotte earns 33/60 = $<<33/60=0.55>>0.55 per minute. Working 75 minutes, she earned 0.55 x 75 = $<<0.55*75=41.25>>41.25. #### 41.25","Here's how to solve the problem:

**1. Convert minutes to hours:**

* There are 60 minutes in an hour, so 75 minutes is equal to 75/60 = 1.25 hours.

**2. Calculate earnings:**

* Charlotte earned $33 per hour, so she earned 1.25 hours * $33/hour = $41.25

**Answer:** Charlotte earned $41.25. 
",41.25,41.25,True
"Charlotte earns $62 an hour for babysitting. Yesterday, she just did 90 minutes of babysitting. How much did she earn?","Charlotte earns 62/60 = $<<62/60=1.0333333333333334>>1.0333333333333334 per minute. Working 90 minutes, she earned 1.0333333333333334 x 90 = $<<1.0333333333333334*90=93.00000000000001>>93.00000000000001. #### 93.00000000000001","Here's how to solve the problem:

**1. Convert minutes to hours:**

* There are 60 minutes in an hour, so 90 minutes is equal to 90/60 = 1.5 hours.

**2. Calculate earnings:**

* Charlotte earned $62 per hour and worked 1.5 hours, so she earned $62 * 1.5 = $93.

**Answer:** Charlotte earned $93. 
",93.00000000000001,93.0,True
"Amelia earns $18 an hour for babysitting. Yesterday, she just did 22 minutes of babysitting. How much did she earn?","Amelia earns 18/60 = $<<18/60=0.3>>0.3 per minute. Working 22 minutes, she earned 0.3 x 22 = $<<0.3*22=6.6>>6.6. #### 6.6","Here's how to solve this:

**1. Convert minutes to hours:**

* There are 60 minutes in an hour, so 22 minutes is equal to 22/60 = 0.3667 hours (approximately).

**2. Calculate earnings:**

* Amelia earned $18 per hour, so she earned 0.3667 hours * $18/hour = $6.60 (approximately).

**Answer:** Amelia earned approximately $6.60. 
",6.6,6.6,True
