question,actual_response,predicted_response,actual_answer,predicted_answer,is_correct
"Mark is reading books, for 2 hours each day. He decided to increase his time spent on reading books weekly, by 4 hours. How much time does Mark want to spend during one week on reading books?","Currently, Mark is reading books for 2 * 7 = <<2*7=14>>14 hours weekly.
His goal is to read books, for 14 + 4 = <<14+4=18>>18 hours during one week.
#### 18","Mark reads 2 hours a day. There are 7 days in a week. So, Mark reads 2 * 7 = 14 hours in a week.

He wants to increase the time by 4 hours. So, the new total time spent reading books in a week is 14 + 4 = 18 hours. The answer is 18 hours.",18,18.0,True
A survey conducted by the school showed that only 20% of the 800 parents agree to a tuition fee increase. How many parents disagree with the tuition fee increase?,"There were 800 x 20/100 = <<800*20/100=160>>160 parents who agreed to the tuition fee increase.
So, there were 800 - 160 = <<800-160=640>>640 parents who disagreed.
#### 640","To find the number of parents who agree with the tuition fee increase, we need to calculate 20% of 800.

20% of 800 = 0.20 * 800 = 160

This means that 160 parents agree with the tuition fee increase.

To find the number of parents who disagree, we subtract the number of parents who agree from the total number of parents:

800 - 160 = 640

So, 640 parents disagree with the tuition fee increase.",640,640.0,True
"In a shop, there is a sale of clothes. Every shirt costs $5, every hat $4, and a pair of jeans $10. How much do you need to pay for three shirts, two pairs of jeans, and four hats?","Three shirts cost 3 * 5 = $<<3*5=15>>15.
Two pairs of jeans would cost 2 * 10 = $<<2*10=20>>20.
Four hats would in total cost 4 * 4 = $<<4*4=16>>16.
So for three shirts, two pairs of jeans, and four hats, you would need to pay 15 + 20 + 16 = $<<15+20+16=51>>51.
#### 51","To find the total cost, let's calculate the cost of each item:

- 3 shirts: 3 * $5 = $15
- 2 pairs of jeans: 2 * $10 = $20
- 4 hats: 4 * $4 = $16

Now, let's add up the costs: $15 + $20 + $16 = $51

You need to pay $51 for three shirts, two pairs of jeans, and four hats.",51,51.0,True
"Titan's father has an onion farm ready for harvest. He borrows Mr. Clay's pickup and transports the harvest to their store, carrying ten bags per trip, prepared for sale. If the onions are in 50 kgs bags, and the pickup makes 20 trips, what's the total weight of onions harvested by Titan's father?","On one trip, the pickup carries 10 bags * 50 kg/bag = <<10*50=500>>500kg of onions
After 20 trips, the total weight of onions transported to the store is 20 trips * 500 kg/trip = <<20*500=10000>>10000 kgs
#### 10000","To find the total weight of onions harvested, we need to multiply the number of bags per trip by the number of trips, and then multiply that by the weight of each bag.

Number of bags per trip: 10
Number of trips: 20
Weight of each bag: 50 kg

Total weight = Number of bags per trip * Number of trips * Weight of each bag
Total weight = 10 * 20 * 50
Total weight = 10,000 kg

The total weight of onions harvested by Titan's father is 10,000 kg.",10000,10000.0,True
"New York is two-thirds as populated as all of New England. If New England has 2100000 people, calculate the combined population of both states.","New York is two-thirds as populated as all of New England, meaning there are 2/3*2100000 = <<2/3*2100000=1400000>>1400000 people living in New York.
The combined population of both states is 1400000+2100000 = <<1400000+2100000=3500000>>3500000
#### 3500000","To find the population of New York, we need to multiply the population of New England by 2/3 (since New York is 2/3 as populated as New England).

Population of New England = 2100000
Population of New York = 2/3 * 2100000 = 2/3 * 2100000 = 1400000

Now, let's add the populations of New York and New England together:
Population of New York + Population of New England = 1400000 + 2100000 = 3500000

The combined population of both states is 3500000.",3500000,3500000.0,True
"Miriam currently has 30 marbles, but she used to have more. Miriam gave her brother 60 marbles, gave her sister twice that amount and gave her friend Savanna three times the amount she currently has. How many marbles did Miriam start with?","If Mariam remains with 30 marbles after giving her brother 60 marbles, she had 30+60 = <<30+60=90>>90 marbles.
Mariam's sister receives twice as many marbles as her brother, a total of 2*60 = <<2*60=120>>120 marbles.
The total number of marbles before giving any to her brother or sister is 120+90= <<120+90=210>>210
Savannah is to receive three times as many marbles as Mariam has to remain with, a total of 3*30 = <<3*30=90>>90 marbles.
Before giving out any marble, Mariam has 210+90 = <<210+90=300>>300 marbles.
#### 300","Let's break it down step by step:

1. Miriam gave her brother 60 marbles.
2. She gave her sister twice that amount: 2 * 60 = 120 marbles.
3. She gave Savanna three times the amount she currently has: 3 * 30 = 90 marbles.
   So, in total, she gave away 60 + 120 + 90 = 270 marbles.

Now, we know Miriam currently has 30 marbles. To find out how many she started with, we need to add the marbles she gave away to the ones she has now:

Initial marbles = Marbles she has now + Marbles she gave away
Initial marbles = 30 + 270
Initial marbles = 300

The answer is 300.",300,300.0,True
"Lisa is making a pizza. She uses 30 pieces of pepperoni for a pizza, twice as many pieces of ham, and 12 more pieces of sausage than pepperoni. If there are 6 slices of pizza, and everything was distributed evenly, how many pieces of meat altogether are on each slice?","There are 30*2 = <<30*2=60>>60 pieces of ham put on the pizza.
There are 30+12 = <<30+12=42>>42 pieces of sausage put on the pizza.
There are 30/6 = <<30/6=5>>5 pieces of pepperoni on each pizza slice.
There are 60/6 = <<60/6=10>>10 pieces of ham on each pizza slice.
There are 42/6 = <<42/6=7>>7 pieces of sausage on each pizza slice.
There are 5+10+7 = <<5+10+7=22>>22 pieces altogether on each slice of pizza.
#### 22","Lisa uses 30 pieces of pepperoni, twice as many (2 * 30 = 60) pieces of ham, and 12 more pieces of sausage than pepperoni (30 + 12 = 42) for a total of 30 + 60 + 42 = 132 pieces of meat.

There are 6 slices of pizza, and everything was distributed evenly. So, to find the number of pieces of meat on each slice, we divide the total number of pieces of meat by 6.

132 / 6 = 22

There are 22 pieces of meat on each slice of pizza.",22,22.0,True
"Markus is twice the age of his son, and Markus's son is twice the age of Markus's grandson.  If the sum of the ages of Markus, his son, and his grandson is 140 years, then how many years old is Markus's grandson?","Let ""x"" be the age of Markus's grandson.
If Markus's son is twice the age of Markus's grandson, then Markus's son is 2*x.
If Markus is twice the age of his son, then Markus is 2*2*x.
Therefore, if the sum of the ages of Markus, his son, and his grandson is 140 years, then x+(2*x)+(2*2*x)=140 years.
Simplifying the equation, we see that 7*x=140 years.
Therefore, the age of Markus's grandson is x=20 years old.
#### 20","Let's denote Markus's grandson's age as 'x'. 

Since Markus's son is twice the age of Markus's grandson, his age would be 2x.

Markus is twice the age of his son, so his age would be 2 * 2x = 4x.

The sum of their ages is 140 years, so we can write the equation:

x + 2x + 4x = 140

Combine like terms:

7x = 140

Divide both sides by 7:

x = 20

So, Markus's grandson is 20 years old.",20,20.0,True
"When Betty makes cheesecake, she sweetens it with a ratio of one part sugar to four parts cream cheese, and she flavors it with one teaspoon of vanilla for every two cups of cream cheese. For every one teaspoon of vanilla, she uses two eggs. She used two cups of sugar in her latest cheesecake. How many eggs did she use?","Betty used 2 cups of sugar in her cheesecake, so she used 2 * 1 = <<2*1=2>>2 times her ratio.
Thus, she used 2 * 4 = <<2*4=8>>8 cups of cream cheese.
She uses 1 teaspoon of vanilla for 2 cups of cream cheese, so she used 8 / 2 = 4 teaspoons of vanilla.
For each teaspoon of vanilla, she uses 2 eggs, so she used 2 * 4 = <<2*4=8>>8 eggs.
#### 8","To find the number of eggs used, we need to find the total amount of cream cheese used. Since the ratio is 1 part sugar to 4 parts cream cheese, and Betty used 2 cups of sugar, we multiply 2 cups by 4.

2 cups * 4 = 8 cups of cream cheese

Now, we know that for every 2 cups of cream cheese, Betty uses 1 teaspoon of vanilla. To find the number of teaspoons of vanilla used, we divide the total cups of cream cheese by 2.

8 cups / 2 = 4 teaspoons of vanilla

Since Betty uses 2 eggs for every 1 teaspoon of vanilla, we multiply the number of teaspoons of vanilla by 2.

4 teaspoons * 2 = 8 eggs

The answer is 8 eggs.",8,8.0,True
"A florist offers for sale 75 narcissus flowers and 90 chrysanthemums. Using all the flowers, how many bouquets containing 5 flowers each can he make?","The florist can make 75/5 = <<75/5=15>>15 bouquets of narcissus.
The florist can make 90/5 = <<90/5=18>>18 bouquets of chrysanthemums.
The florist can make 15 +18 = <<15+18=33>>33 bouquets in total.
#### 33","To find out how many bouquets the florist can make, we need to add the total number of flowers together and then divide by 5 (since each bouquet contains 5 flowers).

Total flowers = 75 narcissus flowers + 90 chrysanthemums
Total flowers = 165

Now, divide the total flowers by 5:
165 / 5 = 33

The florist can make 33 bouquets containing 5 flowers each.",33,5.0,False
"Every week of last month Paul tried out a new cake recipe.  The first week, he followed a cake recipe that called for 24 cups of sugar. Each week after that, he reduced the amount of sugar by half. How much sugar did he use for the cake on the fourth week?","On the 2nd week, Paul halved the first week's sugar, therefore he used 24/2 = <<24/2=12>>12 cups
The third week, Paul used 12/2 = <<12/2=6>>6 cups
The fourth week, he used 6/2 = <<6/2=3>>3 cups
#### 3","To find the amount of sugar Paul used in the fourth week, we need to calculate the amount of sugar for each week:

Week 1: 24 cups
Week 2: 24 / 2 = 12 cups
Week 3: 12 / 2 = 6 cups
Week 4: 6 / 2 = 3 cups

So, Paul used 3 cups of sugar for the cake on the fourth week.",3,3.0,True
"When Diane turns 30, she will be half the age of Alex and twice as old as Allison. Diane is 16 years old now. What is the sum of the ages of Alex and Allison now?","When Dianne turns 30, Alex will be 30 x 2 = <<30*2=60>>60 years old.
Allison will be 30/2 = <<30/2=15>>15 years old then.
Dianne will turn 30 in 30 - 16 = <<30-16=14>>14 years.
Currently, the age of Alex is 60 - 14 = <<60-14=46>>46.
Currently, Allison is 15 - 14 = <<15-14=1>>1 year old.
So, the sum of Alex and Allison's ages now is 46 + 1 = <<46+1=47>>47 years old.
#### 47","To find Alex's and Allison's ages now, we need to determine their ages when Diane turns 30.

When Diane turns 30, she will be half the age of Alex. So Alex's age will be 2 * 30 = 60 years old.

When Diane turns 30, she will be twice as old as Allison. So Allison's age will be 30 / 2 = 15 years old.

Since Diane is 16 years old now, we need to subtract 14 years from her current age to find her age when she turns 30: 30 - 16 = 14 years.

Now, we can find Alex's and Allison's ages now:

Alex's age now: 60 - 14 = 46 years old
Allison's age now: 15 - 14 = 1 year old

The sum of Alex's and Allison's ages now is 46 + 1 = 47 years.",47,47.0,True
Adam teaches 50 students a year. How many students will Adam teach in 10 years if in the first year he only teaches 40 students?,"Adam will teach 50 * 9 = <<50*9=450>>450 students in 9 years.
So, in 10 year Adam will teach 450 + 40 = <<450+40=490>>490 students.
#### 490","In the first year, Adam teaches 40 students. 
For the remaining 9 years, he teaches 50 students each year. 
So, for the remaining 9 years, Adam will teach 50 * 9 = 450 students. 
Adding the 40 students from the first year, Adam will teach 40 + 450 = 490 students in 10 years. The answer is 490.",490,490.0,True
"Olaf collects colorful toy cars. At first, his collection consisted of 150 cars. His family, knowing his hobby, decided to give him some toy cars. Grandpa gave Olaf twice as many toy cars as the uncle. Dad gave Olaf 10 toy cars, 5 less than Mum. Auntie gave Olaf 6 toy cars, 1 more than the uncle. How many toy cars does Olaf have in total, after receiving all these gifts?","Dad gave Olaf 10 toy cars,
Mom has given Olaf 5 more toy cars than Dad, so 10 + 5 = <<10+5=15>>15 toy cars
Auntie gave Olaf 6 toy cars,
Uncle has given 1 less toy than Auntie, so 6 - 1 = <<6-1=5>>5 toy cars
Grandpa gave Olaf 2 * 5 = <<2*5=10>>10 toy cars.
All the family together gave Olaf 10 +15 + 6 + 5 + 10 = <<10+15+6+5+10=46>>46.
Adding the cars Olaf already had, Olaf's collection has 150 + 46 = <<150+46=196>>196 cars.
#### 196","To find out how many toy cars Olaf has, we need to find out how many the uncle received. Since Auntie gave Olaf 6 toy cars, 1 more than the uncle, the uncle received 6 - 1 = 5 toy cars.

Grandpa gave Olaf twice as many toy cars as the uncle, so Grandpa gave 2 * 5 = 10 toy cars.

Dad gave Olaf 10 toy cars, 5 less than Mum. So, Mum gave Dad 10 + 5 = 15 toy cars. 

Now, let's add up the toy cars given to Olaf:
- Auntie gave 6
- Uncle gave 5
- Grandpa gave 10
- Dad gave 10
- Mum gave 15

Olaf initially had 150 toy cars. He received a total of 6 + 5 + 10 + 10 + 15 = 46 toy cars.

The total number of toy cars Olaf has now is 150 + 46 = 196.",196,196.0,True
"Marcy is a makeup artist and has agreed to do some makeup for her friend's wedding. The only makeup she has limited stock of is lip gloss so she counts how many tubes she needs. Each tube of lip gloss will hold enough lip gloss for 3 people's makeup. Marcy decides to bring 6 tubs of lip gloss, each of which holds 2 tubes of lip gloss, and this will be the exact amount she needs for everyone's makeup. How many people is Marcy painting with makeup?","Marcy is bringing 6 tubs of lip gloss * 2 tubes of lip gloss per tub of lip gloss = <<6*2=12>>12 tubes of lip gloss.
So she must be applying makeup to 12 tubes of lip gloss * 3 people per tube of lip gloss = <<12*3=36>>36 people.
#### 36","Marcy has 6 tubs of lip gloss, each holding 2 tubes. To find the total number of tubes, multiply the number of tubs by the number of tubes per tub: 6 * 2 = 12 tubes.

Since each tube holds enough lip gloss for 3 people's makeup, multiply the total number of tubes by 3: 12 * 3 = 36.

The answer is 36 people.",36,36.0,True
"Tony has two fish. Every year, his parents buy him two more, but one of them dies. How many fish will he have in five years?","Each year Tony has one more fish than before because 2 - 1 = <<2-1=1>>1
In five years, he will have 5 more fish because 5 x 1 = <<5*1=5>>5
In five years he will have 7 fish because 2 + 5 = <<2+5=7>>7
#### 7","Tony starts with 2 fish. Every year, his parents buy him 2 more, but one dies. So, the net change in the number of fish is +1 each year.

In 5 years, the total change would be +5 (1 fish per year). 

Initially, Tony had 2 fish. After 5 years, he will have 2 + 5 = 7 fish. 

The answer is 7.",7,7.0,True
Nick is trying to raise money for a charity. He is selling candy bars for $5. He is also selling chocolate oranges for $10. He wants to raise $1000. He only had 20 chocolate oranges that he sold out. How many candy bars does Nick need to sell to reach his goal?,"Nick has made 20 * $10 = $<<20*10=200>>200 from the chocolate oranges.
This means he needs to raise another $1000 - $200 = $<<1000-200=800>>800.
He needs to sell a total of $800 / $5 = <<800/5=160>>160 candy bars to reach his goal.
#### 160","Nick wants to raise $1000. He raised $10 from each chocolate orange, so 20 chocolate oranges will raise him 20 * 10 = $200. He still needs to raise $1000 - $200 = $800.

Since each candy bar costs $5, to find out how many candy bars he needs to sell, we divide the remaining amount by the price of a candy bar: $800 / $5 = 160.

So, Nick needs to sell 160 candy bars to reach his goal of $1000.",160,1000.0,False
"Henry, John and Leo collected some seashells from the beach. Henry collected 11, Paul 24. If they initially collected 59 seashells in total and Leo gave a quarter of his collection to a younger kid they met, how many do they have in total now?","Henry and Paul collected a total of 11+24 = <<11+24=35>>35 seashells
To make a total of 59, Leo must have collected 59-35 = <<59-35=24>>24 seashells
He gave out a quarter of 24 seashells which is 24*(1/4) = <<24*(1/4)=6>>6 seashells
They are now left with 59-6 = <<59-6=53>>53 seashells
#### 53","Initially, Henry and Paul collected 11 + 24 = 35 seashells. The total they initially collected was 59, so Leo collected 59 - 35 = 24 seashells.

Leo gave a quarter of his collection to a younger kid, so he gave away 1/4 * 24 = 6 seashells.

Now, Leo has 24 - 6 = 18 seashells. The total number of seashells they have now is 35 + 18 = 53.",53,53.0,True
"Paul uses 1 can of frosting to frost a layer cake.  He uses a half can of frosting for a single cake, or a single pan of brownies, or a dozen cupcakes.  For Saturday, he needs to have 3 layer cakes, 6 dozen cupcakes, 12 single cakes and 18 pans of brownies ready and frosted for customer pick up.  How many cans of frosting will he need?","He needs 1 can of frosting per layer cake and he needs to make 3 layer cakes so that's 1*3 = <<1*3=3>>3 cans of frosting
There are 6 dozen cupcakes,12 single cakes and 18 pans of brownies for a total of 6+12+18 = <<6+12+18=36>>36 orders
Each of the 36 orders needs 1/2 can of frosting so they need 36*.5 = <<36*.5=18>>18 cans of frosting
He needs 3 cans of frosting for the layer cakes and 18 cans for the remaining items for a total of 3+18 = <<3+18=21>>21 cans of frosting
#### 21","To calculate the total cans of frosting needed, we need to calculate the amount needed for each item:

- Layer cakes: 3 * 1 can = 3 cans
- Dozen cupcakes: 6 * 0.5 cans = 3 cans
- Single cakes: 12 * 0.5 cans = 6 cans
- Pans of brownies: 18 * 0.5 cans = 9 cans

Adding up the total cans needed: 3 + 3 + 6 + 9 = 21 cans

So, Paul will need 21 cans of frosting.",21,21.0,True
"Max has a collection of stamps in three colors: 20 red stamps, 80 blue stamps and 7 yellow ones. He is trying to sell the whole collection. He already sold 20 red stamps for the price of $1.1 for each stamp and 80 blue stamps for the price of $0.8 for each stamp. What price did he need to set for each yellow stamp to be able to earn the total of $100 from the whole sale?","Max earned 20 * 1.1 = $<<20*1.1=22>>22 on red stamps.
From the blue stamps Max got 80 * 0.8 = $<<80*0.8=64>>64.
His earnings so far are 22 + 64 = $<<22+64=86>>86.
To earn $100 he needs 100 – 86 = $<<100-86=14>>14 more.
Max has 7 yellow stamps, so he needs to set the price at 14 / 7 = $<<14/7=2>>2.
#### 2","Max sold 20 red stamps for $1.1 each, so he earned 20 * 1.1 = $22 from the red stamps.

He sold 80 blue stamps for $0.8 each, so he earned 80 * 0.8 = $64 from the blue stamps.

Total amount earned from red and blue stamps is $22 + $64 = $86.

To earn $100 from the whole sale, Max needs to earn $100 - $86 = $14 from the yellow stamps.

Max has 7 yellow stamps. To find the price per yellow stamp, divide the total amount needed ($14) by the number of yellow stamps (7): $14 / 7 = $2 per yellow stamp.

The answer is $2 per yellow stamp.",2,2.0,True
Spot sells cookies in bags and boxes. Each bag has 7 cookies. Each box has 12 cookies.  How many more cookies are in 8 boxes than there are in 9 bags?,"The total number of cookies in 8 boxes is 8 boxes * 12 cookies / box = <<8*12=96>>96 cookies
The total number of cookies in 9 bags is 9 bags * 7 cookies / bags = <<9*7=63>>63 cookies
There are 96 - 63 = <<96-63=33>>33 more cookies in the boxes than in the bags.
#### 33","There are 7 cookies in each bag. So, in 9 bags, there are 9 * 7 = 63 cookies.

There are 12 cookies in each box. So, in 8 boxes, there are 8 * 12 = 96 cookies.

To find out how many more cookies are in 8 boxes than in 9 bags, we subtract the number of cookies in bags from the number of cookies in boxes: 96 - 63 = 33.

The answer is 33.",33,33.0,True
A charcoal grill burns fifteen coals to ash every twenty minutes of grilling. The grill ran for long enough to burn three bags of coals. Each bag of coal contains 60 coals. How long did the grill run?,"The grill burned 3 * 60 = <<3*60=180>>180 coals.
It takes 20 minutes to burn 15 coals, so the grill ran for 180 / 15 * 20 = <<180/15*20=240>>240 minutes.
#### 240","To find the total number of coals burned, we need to multiply the number of bags by the number of coals per bag. 
Three bags * 60 coals per bag = 180 coals.

Since the grill burns 15 coals every 20 minutes, we need to divide the total number of coals burned by 15 to find out how many 20-minute intervals there were.
180 coals / 15 coals per interval = 12 intervals

Now, we multiply the number of intervals by the duration of each interval (20 minutes) to find the total running time.
12 intervals * 20 minutes per interval = 240 minutes

The answer is 240 minutes.",240,240.0,True
"Kara has to drink 4 ounces of water every time she takes her medication. Her medication instructions are to take one tablet three times a day. She followed the instructions for one week, but in the second week, she forgot twice on one day. How many ounces of water did she drink with her medication over those two weeks?","Kara drinks 4 * 3 = <<4*3=12>>12 ounces of water with her medication each day.
In a week, she drinks 12 * 7 = <<12*7=84>>84 ounces of water with her medication.
In two weeks, she drinks 84 * 2 = <<84*2=168>>168 ounces of water with her medication.
One day, she forgot two tablets, so she did not drink 2 * 4 = <<2*4=8>>8 ounces of water.
Thus, Kara drank 168 - 8 = <<168-8=160>>160 ounces of water with her medication over two weeks.
#### 160","Since Kara takes her medication three times a day, that's 3 times a day * 7 days a week = 21 days per week.

In one week, she would drink 21 days * 4 ounces = 84 ounces of water.

Over two weeks, she would drink 84 ounces * 2 = 168 ounces.

However, in the second week, she forgot twice, so she missed 2 * 4 ounces = 8 ounces of water.

Therefore, Kara drank 168 ounces - 8 ounces = 160 ounces of water with her medication over those two weeks.",160,160.0,True
